V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
342186	RR00087317	hsa-miR-106b-5p	miRNA	Homo sapiens	AP3D1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8943	0.618	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
342222	RR00118412	hsa-miR-106b-5p	miRNA	Homo sapiens	ARF6	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:382	0.6466	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda
342223	RR00118975	hsa-miR-106b-5p	miRNA	Homo sapiens	ARFGEF2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10564	0.6458	N/A	N/A	miRanda
342226	RR00119806	hsa-miR-106b-5p	miRNA	Homo sapiens	ARHGAP1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:392	0.6611	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342228	RR00120138	hsa-miR-106b-5p	miRNA	Homo sapiens	ARHGAP12	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:94134	0.6087	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342250	RR00125568	hsa-miR-106b-5p	miRNA	Homo sapiens	ARID4A	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:5926	0.6358	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342251	RR00125756	hsa-miR-106b-5p	miRNA	Homo sapiens	ARID4B	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51742	0.6798	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342281	RR00132638	hsa-miR-106b-5p	miRNA	Homo sapiens	ASAP2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8853	0.6211	N/A	HITS-CLIP//PAR-CLIP	N/A
342298	RR00154412	hsa-miR-106b-5p	miRNA	Homo sapiens	ATAD2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:29028	0.6559	qPCR//Western blot	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342309	RR00156647	hsa-miR-106b-5p	miRNA	Homo sapiens	ATG2B	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:55102	0.6048	N/A	HITS-CLIP//CLIP-seq	miRanda//MirTarget//Bayesian target prediction algorithm
342315	RR00157937	hsa-miR-106b-5p	miRNA	Homo sapiens	ATL3	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:25923	0.6638	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342326	RR00160521	hsa-miR-106b-5p	miRNA	Homo sapiens	ATP2B1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:490	0.6496	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda
342331	RR00163008	hsa-miR-106b-5p	miRNA	Homo sapiens	ATP6V0E1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8992	0.6798	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342335	RR00163851	hsa-miR-106b-5p	miRNA	Homo sapiens	ATP6V1G1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:9550	0.6103	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	miRanda
342343	RR00165774	hsa-miR-106b-5p	miRNA	Homo sapiens	ATXN1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:6310	0.6706	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
342344	RR00166173	hsa-miR-106b-5p	miRNA	Homo sapiens	ATXN1L	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:342371	0.6399	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342354	RR00169367	hsa-miR-106b-5p	miRNA	Homo sapiens	AZIN1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51582	0.603	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342356	RR00202699	hsa-miR-106b-5p	miRNA	Homo sapiens	B2M	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:567	0.7027	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342375	RR00211011	hsa-miR-106b-5p	miRNA	Homo sapiens	BAMBI	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:25805	0.6402	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342383	RR00213397	hsa-miR-106b-5p	miRNA	Homo sapiens	BBX	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:56987	0.688	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342390	RR00219337	hsa-miR-106b-5p	miRNA	Homo sapiens	BCL2L11	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10018	0.7424	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
342437	RR00228433	hsa-miR-106b-5p	miRNA	Homo sapiens	BNIP2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:663	0.7089	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342447	RR00230516	hsa-miR-106b-5p	miRNA	Homo sapiens	BRD1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23774	0.6195	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda
342453	RR00231850	hsa-miR-106b-5p	miRNA	Homo sapiens	BRMS1L	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:84312	0.624	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP//Microarray//eCLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342456	RR00232417	hsa-miR-106b-5p	miRNA	Homo sapiens	BRWD1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:54014	0.6266	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342461	RR00234082	hsa-miR-106b-5p	miRNA	Homo sapiens	BTBD3	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:22903	0.6015	N/A	HITS-CLIP//PAR-CLIP	N/A
342462	RR00234255	hsa-miR-106b-5p	miRNA	Homo sapiens	BTBD7	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:55727	0.6566	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342465	RR00234732	hsa-miR-106b-5p	miRNA	Homo sapiens	BTF3	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:689	0.6473	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	miRanda
342468	RR00235107	hsa-miR-106b-5p	miRNA	Homo sapiens	BTG2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:7832	0.7083	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342471	RR00235759	hsa-miR-106b-5p	miRNA	Homo sapiens	BTN3A1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:11119	0.6061	N/A	HITS-CLIP//GMUCT//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342477	RR00236480	hsa-miR-106b-5p	miRNA	Homo sapiens	BUD23	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:114049	0.6121	N/A	CLIP-seq	miRanda//MirTarget
342501	RR00250729	hsa-miR-106b-5p	miRNA	Homo sapiens	C16orf70	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:80262	0.7085	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
342510	RR00252279	hsa-miR-106b-5p	miRNA	Homo sapiens	C18orf32	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:497661	0.6534	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342530	RR00258238	hsa-miR-106b-5p	miRNA	Homo sapiens	C2orf15	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:150590	0.6039	N/A	N/A	miRanda
342536	RR00259687	hsa-miR-106b-5p	miRNA	Homo sapiens	C3orf38	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:285237	0.6489	N/A	CLIP-seq//PAR-CLIP	miRanda//MirTarget
342543	RR00262092	hsa-miR-106b-5p	miRNA	Homo sapiens	C6orf120	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:387263	0.6712	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342557	RR00264617	hsa-miR-106b-5p	miRNA	Homo sapiens	C9orf40	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:55071	0.6291	N/A	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//Microarray	miRanda//MirTarget
342575	RR00270369	hsa-miR-106b-5p	miRNA	Homo sapiens	CALCOCO2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10241	0.6025	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	miRanda
342577	RR00271854	hsa-miR-106b-5p	miRNA	Homo sapiens	CALU	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:813	0.6303	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342592	RR00275030	hsa-miR-106b-5p	miRNA	Homo sapiens	CAPN15	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:6650	0.6387	N/A	HITS-CLIP//CLASH//eCLIP//PAR-CLIP	MirTarget
342596	RR00275802	hsa-miR-106b-5p	miRNA	Homo sapiens	CAPRIN2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:65981	0.6592	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342620	RR00284728	hsa-miR-106b-5p	miRNA	Homo sapiens	CBFB	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:865	0.6341	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342624	RR00286358	hsa-miR-106b-5p	miRNA	Homo sapiens	CBX5	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23468	0.6982	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	MirTarget
342632	RR00288528	hsa-miR-106b-5p	miRNA	Homo sapiens	CCDC137	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:339230	0.659	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342650	RR00291230	hsa-miR-106b-5p	miRNA	Homo sapiens	CCDC6	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8030	0.6295	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342654	RR00291870	hsa-miR-106b-5p	miRNA	Homo sapiens	CCDC71L	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:168455	0.6818	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342669	RR00294476	hsa-miR-106b-5p	miRNA	Homo sapiens	CCNB1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:891	0.6563	N/A	HITS-CLIP	N/A
342670	RR00294679	hsa-miR-106b-5p	miRNA	Homo sapiens	CCND1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:595	0.7214	Immunoassay//RT-PCR//Luciferase reporter assay//Reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342680	RR00296716	hsa-miR-106b-5p	miRNA	Homo sapiens	CCNT2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:905	0.6975	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
342683	RR00297901	hsa-miR-106b-5p	miRNA	Homo sapiens	CCSAP	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:126731	0.623	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	MirTarget
342686	RR00298200	hsa-miR-106b-5p	miRNA	Homo sapiens	CCT2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10576	0.6884	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda
342713	RR00304577	hsa-miR-106b-5p	miRNA	Homo sapiens	CDC25A	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:993	0.6023	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342716	RR00305163	hsa-miR-106b-5p	miRNA	Homo sapiens	CDC37L1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:55664	0.6917	N/A	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342748	RR00311638	hsa-miR-106b-5p	miRNA	Homo sapiens	CDKN1A	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1026	0.7838	Immunoassay//Western blot//RT-PCR//Reporter assay//ChIP//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342758	RR00314432	hsa-miR-106b-5p	miRNA	Homo sapiens	CEBPB	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1051	0.6374	N/A	HITS-CLIP//ChIP-seq//CLIP-seq//PAR-CLIP	miRanda
342762	RR00315257	hsa-miR-106b-5p	miRNA	Homo sapiens	CELF2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10659	0.6183	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
342777	RR00317779	hsa-miR-106b-5p	miRNA	Homo sapiens	CEP120	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:153241	0.6546	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342787	RR00319257	hsa-miR-106b-5p	miRNA	Homo sapiens	CEP57	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:9702	0.6023	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342793	RR00319977	hsa-miR-106b-5p	miRNA	Homo sapiens	CEP97	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:79598	0.6663	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342798	RR00320415	hsa-miR-106b-5p	miRNA	Homo sapiens	CERS2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:29956	0.6618	N/A	HITS-CLIP//CLASH//eCLIP//PAR-CLIP	MirTarget
342807	RR00322278	hsa-miR-106b-5p	miRNA	Homo sapiens	CFL2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1073	0.6301	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342819	RR00325146	hsa-miR-106b-5p	miRNA	Homo sapiens	CHD9	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:80205	0.6403	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342841	RR00330948	hsa-miR-106b-5p	miRNA	Homo sapiens	CIC	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23152	0.6207	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
342849	RR00335480	hsa-miR-106b-5p	miRNA	Homo sapiens	CKAP4	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10970	0.6481	N/A	HITS-CLIP//eCLIP//PAR-CLIP	N/A
342868	RR00340346	hsa-miR-106b-5p	miRNA	Homo sapiens	CLIP4	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:79745	0.6545	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342872	RR00341412	hsa-miR-106b-5p	miRNA	Homo sapiens	CLOCK	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:9575	0.6558	N/A	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
342873	RR00341716	hsa-miR-106b-5p	miRNA	Homo sapiens	CLPTM1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1209	0.6446	N/A	HITS-CLIP//PAR-CLIP	N/A
342875	RR00342410	hsa-miR-106b-5p	miRNA	Homo sapiens	CLTC	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1213	0.7131	N/A	CLASH//PAR-CLIP	N/A
342881	RR00343590	hsa-miR-106b-5p	miRNA	Homo sapiens	CMPK1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51727	0.6416	N/A	HITS-CLIP//CLIP-seq	Cupid//miRanda//MirTarget
342886	RR00344607	hsa-miR-106b-5p	miRNA	Homo sapiens	CNEP1R1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:255919	0.6409	N/A	HITS-CLIP//eCLIP//PAR-CLIP	Cupid//miRanda
342895	RR00346223	hsa-miR-106b-5p	miRNA	Homo sapiens	CNOT1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23019	0.6652	N/A	HITS-CLIP//PAR-CLIP	N/A
342898	RR00346687	hsa-miR-106b-5p	miRNA	Homo sapiens	CNOT4	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:4850	0.684	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
342900	RR00347089	hsa-miR-106b-5p	miRNA	Homo sapiens	CNOT6L	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:246175	0.6282	qRT-PCR//Luciferase reporter assay//Western blot	CLIP-seq//CLASH//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342917	RR00350292	hsa-miR-106b-5p	miRNA	Homo sapiens	COIL	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8161	0.6298	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	MirTarget
342944	RR00356107	hsa-miR-106b-5p	miRNA	Homo sapiens	CORO1C	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23603	0.6056	N/A	HITS-CLIP//PAR-CLIP	N/A
342962	RR00360939	hsa-miR-106b-5p	miRNA	Homo sapiens	CPOX	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1371	0.6265	N/A	HITS-CLIP//CLIP-seq	miRanda//MirTarget
342973	RR00363213	hsa-miR-106b-5p	miRNA	Homo sapiens	CREB1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1385	0.6414	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
342977	RR00364254	hsa-miR-106b-5p	miRNA	Homo sapiens	CREBRF	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:153222	0.6378	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342979	RR00365314	hsa-miR-106b-5p	miRNA	Homo sapiens	CRIM1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51232	0.6283	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
342984	RR00365864	hsa-miR-106b-5p	miRNA	Homo sapiens	CRK	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1398	0.6927	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342986	RR00368867	hsa-miR-106b-5p	miRNA	Homo sapiens	CROT	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:54677	0.6093	N/A	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342989	RR00369358	hsa-miR-106b-5p	miRNA	Homo sapiens	CRTC2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:200186	0.6266	N/A	PAR-CLIP	N/A
342991	RR00369716	hsa-miR-106b-5p	miRNA	Homo sapiens	CRY2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1408	0.6749	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
342997	RR00370557	hsa-miR-106b-5p	miRNA	Homo sapiens	CSDE1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:7812	0.6668	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343004	RR00372027	hsa-miR-106b-5p	miRNA	Homo sapiens	CSNK1A1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1452	0.6618	N/A	HITS-CLIP//PAR-CLIP	N/A
343021	RR00377333	hsa-miR-106b-5p	miRNA	Homo sapiens	CTDSPL2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51496	0.6427	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
343026	RR00379032	hsa-miR-106b-5p	miRNA	Homo sapiens	CTSA	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:5476	0.6307	N/A	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//eCLIP	miRanda//MirTarget
343052	RR00384595	hsa-miR-106b-5p	miRNA	Homo sapiens	CYBRD1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:79901	0.6345	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget
343079	RR00422575	hsa-miR-106b-5p	miRNA	Homo sapiens	DAZAP2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:9802	0.6131	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343088	RR00424932	hsa-miR-106b-5p	miRNA	Homo sapiens	DCAF8	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:50717	0.6623	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//Bayesian target prediction algorithm
343089	RR00425288	hsa-miR-106b-5p	miRNA	Homo sapiens	DCBLD2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:131566	0.6287	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
343092	RR00425853	hsa-miR-106b-5p	miRNA	Homo sapiens	DCK	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1633	0.6031	N/A	HITS-CLIP//PAR-CLIP	N/A
343122	RR00431762	hsa-miR-106b-5p	miRNA	Homo sapiens	DDX5	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1655	0.7206	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
343170	RR00442357	hsa-miR-106b-5p	miRNA	Homo sapiens	DLC1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:10395	0.621	RT-PCR//Reporter assay//Western blot	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343201	RR00447831	hsa-miR-106b-5p	miRNA	Homo sapiens	DNAJB9	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:4189	0.7106	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343204	RR00448390	hsa-miR-106b-5p	miRNA	Homo sapiens	DNAJC16	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:23341	0.6136	N/A	CLIP-seq	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
343209	RR00449090	hsa-miR-106b-5p	miRNA	Homo sapiens	DNAJC27	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:51277	0.627	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343244	RR00455388	hsa-miR-106b-5p	miRNA	Homo sapiens	DPYSL2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1808	0.6133	N/A	CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343255	RR00458327	hsa-miR-106b-5p	miRNA	Homo sapiens	DST	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:667	0.6325	N/A	PAR-CLIP	miRanda
343256	RR00458600	hsa-miR-106b-5p	miRNA	Homo sapiens	DSTYK	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:25778	0.6565	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	MirTarget
343275	RR00462628	hsa-miR-106b-5p	miRNA	Homo sapiens	DYNC1LI2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1783	0.657	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
343281	RR00463474	hsa-miR-106b-5p	miRNA	Homo sapiens	DYRK2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8445	0.634	N/A	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	Cupid//miRanda
343284	RR00478590	hsa-miR-106b-5p	miRNA	Homo sapiens	E2F1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1869	0.625	Immunoassay//Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//ChIP-seq	Cupid//miRanda//MirTarget
343303	RR00483199	hsa-miR-106b-5p	miRNA	Homo sapiens	EEA1	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:8411	0.6173	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
343308	RR00484317	hsa-miR-106b-5p	miRNA	Homo sapiens	EEF2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1938	0.6296	N/A	HITS-CLIP//PAR-CLIP	N/A
343313	RR00484981	hsa-miR-106b-5p	miRNA	Homo sapiens	EFCAB14	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:9813	0.6845	N/A	HITS-CLIP//PAR-CLIP	MirTarget
343327	RR00487458	hsa-miR-106b-5p	miRNA	Homo sapiens	EGLN3	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:112399	0.6379	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	miRanda//MirTarget//Bayesian target prediction algorithm
343349	RR00491145	hsa-miR-106b-5p	miRNA	Homo sapiens	EIF4A2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1974	0.648	N/A	HITS-CLIP//eCLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
343354	RR00492198	hsa-miR-106b-5p	miRNA	Homo sapiens	EIF4G2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1982	0.6545	N/A	HITS-CLIP//CLIP-seq	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
